CÓDIGO PRESA	CODIGO PRESA EXTRAIDO	CODIGO ACTIVIDAD	CODIGO ACTIVIDAD EXTRAIDO	NOMBRE ACTIVIDAD	MANTENIMIENTO	PERIOCIDAD	PERSONAL	TIPO_EQUIPO	OkEliminar
CHG.E58 - ACC01 - ACC - ACC01	CHG.E58	CHG.E58 - ACC01 - ACC - ACC01	 ACC01 - ACC - ACC01	ACCESO A LA PRESA DE LOS MELONARES POR EL CAMINO PRINCIPAL	VISUAL	01_DIARIO	PP	CAMINO	OK
CHG.E58 - ACC01 - ACC - ACC01	CHG.E58	CHG.E58 - ACC01 - ACC - ACC01	 ACC01 - ACC - ACC01	ACCESO A LA PRESA DE LOS MELONARES POR EL CAMINO PRINCIPAL	HERBICIDA	06_SEMESTRAL	PP	CAMINO	OK
CHG.E58 - ACC01 - ACC - ACC01	CHG.E58	CHG.E58 - ACC01 - ACC - ACC01	 ACC01 - ACC - ACC01	ACCESO A LA PRESA DE LOS MELONARES POR EL CAMINO PRINCIPAL	DESBROCE CUNETAS	07_ANUAL	PP	CAMINO	OK
CHG.E58 - ACC01 - ACC - ACC01	CHG.E58	CHG.E58 - ACC01 - ACC - ACC01	 ACC01 - ACC - ACC01	ACCESO A LA PRESA DE LOS MELONARES POR EL CAMINO PRINCIPAL	PINTURA PUERTA	07_ANUAL	PP	CAMINO	OK
CHG.E58 - ACC01 - ACC - ACC01	CHG.E58	CHG.E58 - ACC01 - ACC - ACC01	 ACC01 - ACC - ACC01	ACCESO A LA PRESA DE LOS MELONARES POR EL CAMINO PRINCIPAL	REVISIÓN PUERTA (MECÁNICA)	01_DIARIO	EE	CAMINO	OK
CHG.E58 - ACC01 - ACC - SEG	CHG.E58	CHG.E58 - ACC01 - ACC - SEG	 ACC01 - ACC - SEG	EQUIPAMIENTO CCTV E INTRUSION	VISUAL	01_DIARIO	PP	CÁMARA	OK
CHG.E58 - ACC02 - ACC - ACC02	CHG.E58	CHG.E58 - ACC02 - ACC - ACC02	 ACC02 - ACC - ACC02	ACCESO A LA PRESA DE LOS MELONARES POR MI	VISUAL	01_DIARIO	PP	CAMINO	OK
CHG.E58 - ACC02 - ACC - ACC02	CHG.E58	CHG.E58 - ACC02 - ACC - ACC02	 ACC02 - ACC - ACC02	ACCESO A LA PRESA DE LOS MELONARES POR MI	HERBICIDA	06_SEMESTRAL	PP	CAMINO	OK
CHG.E58 - ACC02 - ACC - ACC02	CHG.E58	CHG.E58 - ACC02 - ACC - ACC02	 ACC02 - ACC - ACC02	ACCESO A LA PRESA DE LOS MELONARES POR MI	DESBROCE CUNETAS	07_ANUAL	PP	CAMINO	OK
CHG.E58 - ACC02 - ACC - SEG	CHG.E58	CHG.E58 - ACC02 - ACC - SEG	 ACC02 - ACC - SEG	EQUIPAMIENTO CCTV E INTRUSION	VISUAL	01_DIARIO	PP	CÁMARA	OK
